Total Potential Stores,List of Retailers,City,State,Reflex Market,Prioritized Zip Codes
"1","Ralph Lauren","Nantucket","MA","Not Live","02554"
"1","Polo Ralph Lauren Factory Store","Lee","MA","Not Live","01238"
"1","Polo Ralph Lauren Factory Store","Pottstown","PA","Not Live","19464"
"1","Polo Ralph Lauren Factory Store","Kansas City","KS","Not Live","66111"
"1","Ralph Lauren","Manhasset","NY","Not Live","11030"
"1","Ralph Lauren Polo Factory Outlet","New Britain","CT","Not Live","06053"
"1","Polo Ralph Lauren Factory Store","Clinton","CT","Not Live","06413"
"1","Polo Ralph Lauren Factory Store","Pearl","MS","Not Live","39208"
"1","Polo Ralph Lauren Factory Store","Pooler","GA","Not Live","31322"
"1","Polo Ralph Lauren Factory Store","Gonzales","LA","Not Live","70737"
"1","Polo Ralph Lauren Factory Store","Clarksburg","MD","Not Live","22705"
"1","Polo Ralph Lauren Factory Store","Silverthorne","CO","Not Live","80498"
"1","Polo Ralph Lauren Factory Store","Florida City","FL","Not Live","33034"
"1","Polo Ralph Lauren Factory Store","St. Augustine","FL","Not Live","32092"
"1","Polo Ralph Lauren Factory Store","Woodbridge","VA","Not Live","22192"
"1","Ralph Lauren","Costa Mesa","CA","Not Live","92626"
"1","Polo Ralph Lauren Factory Store","Rehoboth Beach","DE","Not Live","36470"
"1","Polo Ralph Lauren Factory Store","Sunbury","OH","Not Live","43074"
"1","Polo Ralph Lauren Clearance Factory Store","Tuscola","IL","Not Live","61953"
"1","Polo Ralph Lauren Factory Store","Mebane","NC","Not Live","27302"
"1","Polo Ralph Lauren Factory Store","Antioch","TN","Not Live","37013"
"1","Ralph Lauren","Southampton","NY","Not Live","11968"
"1","Polo Ralph Lauren Factory Store","Queenstown","MD","Not Live","21658"
"1","Ralph Lauren","Beverly Hills","CA","Not Live","90210"
"1","Polo Ralph Lauren Factory Store","Milpitas","CA","Not Live","95035"
"1","Polo Ralph Lauren Factory Store","Osage Beach","MO","Not Live","65065"
"1","Polo Ralph Lauren Factory Store","MASHANTUCKET","CT","Not Live","06338"
"1","Polo Ralph Lauren Factory Store","Hershey","PA","Not Live","17033"
"1","Polo Ralph Lauren Factory Store","Somerville","MA","Not Live","02145"
"1","Polo Ralph Lauren","La Quinta","CA","Not Live","49499"
"1","Polo Ralph Lauren Factory Store","New Orleans","LA","Live","70130"
"1","Polo Ralph Lauren Factory Store","Alpine","CA","Not Live","91901"
"1","Polo Ralph Lauren Factory Store","Castle Rock","CO","Not Live","80108"
"1","Ralph Lauren","New Canaan","CT","Not Live","06840"
"1","Polo Ralph Lauren Factory Store","Rosemont","IL","Not Live","60018"
"1","Polo Ralph Lauren Factory Store","Jackson Township","NJ","Not Live","08527"
"1","Ralph Lauren","Princeton","NJ","Not Live","08542"
"1","Polo Ralph Lauren Factory Store","Arvin","CA","Not Live","93203"
"1","Polo Ralph Lauren Factory Store","Gurnee","IL","Not Live","60031"
"1","Polo Ralph Lauren Factory Store","Leeds","AL","Not Live","35094"
"1","Polo Ralph Lauren Factory Store","Napa","CA","Not Live","94558"
"1","Ralph Lauren","Oak Brook","IL","Not Live","60523"
"1","Polo Ralph Lauren Factory Store","Albertville","MN","Not Live","55301"
"1","Ralph Lauren","Palo Alto","CA","Not Live","94304"
"1","Polo Ralph Lauren Factory Store","Forest Heights","MD","Not Live","20745"
"1","Polo Ralph Lauren Factory Store","Gilroy","CA","Not Live","95020"
"1","Polo Ralph Lauren Factory Store","Hanover","MD","Not Live","21076"
"1","Polo Ralph Lauren Factory Store","Canutillo","TX","Not Live","79835"
"1","Polo Ralph Lauren Factory Store","Nags Head","NC","Not Live","27959"
"1","Ralph Lauren","La Jolla","CA","Not Live","92037"
"1","Polo Ralph Lauren Factory Store","Jenks","OK","Not Live","74037"
"1","Polo Ralph Lauren Factory Store","Santa Fe","NM","Not Live","87507"
"1","Polo Ralph Lauren Factory Store","Woodstock","GA","Not Live","30188"
"1","SKIMS LA FLAGSHIP","West Hollywood","CA","Not Live","90069"
"1","Tecovas","Germantown","TN","Not Live","38138"
"1","Tecovas","Dedham","MA","Not Live","02026"
"1","Tecovas","Birmingham","AL","Not Live","35243"
"1","Tecovas","Rogers","AR","Not Live","72758"
"1","Tecovas","San Juan Capistrano","CA","Not Live","31896"
"1","Tecovas","Leawood","KS","Not Live","66209"
"1","Tecovas","Jacksonville","FL","Not Live","32246"
"1","Tecovas","San Antonio","TX","Live","78209"
